postal code,latitude,longitude
18906,1.2758,103.8496
18907,1.2749,103.8517
18910,1.2796,103.869
18915,1.2737,103.8601
18916,1.2798,103.8515
18925,1.2764,103.8546
18926,1.2763,103.8554
18927,1.2752,103.8537
18928,1.2777,103.8503
18929,1.275,103.8552
18930,1.2754,103.867
18935,1.2774,103.8528
18936,1.2779,103.8529
18937,1.2771,103.8523
18940,1.2803,103.8562
18946,1.27,103.8573
18947,1.2661,103.8606
18948,1.271,103.8624
18951,1.2799,103.8705
18953,1.2829,103.8649
18955,1.2841,103.8595
18956,1.2824,103.8584
18957,1.2819,103.8591
18958,1.2842,103.859
18959,1.2794,103.8587
18960,1.2789,103.8512
18961,1.2783,103.8509
18962,1.2748,103.849
18965,1.2803,103.8521
18969,1.2794,103.8528
18971,1.284,103.8608
18972,1.2838,103.8587
18973,1.2852,103.86
18974,1.2862,103.8593
18978,1.2767,103.8533
18979,1.2772,103.8537
18980,1.2796,103.855
18981,1.2797,103.854
18982,1.2791,103.8544
18983,1.2795,103.8538
18984,1.28,103.8539
18985,1.2808,103.8527
18986,1.2808,103.8527
18987,1.2808,103.8527
18988,1.2707,103.8632
18989,1.2823,103.8526
19396,1.2795,103.8682
19397,1.275,103.8632
19800,1.2766,103.8648
29996,1.294,103.877
29997,1.2835,103.8779
38970,1.2996,103.8639
38975,1.2914,103.8639
38980,1.2866,103.8546
38981,1.2901,103.8552
38982,1.2935,103.8588
38983,1.2951,103.8585
38985,1.2945,103.858
38986,1.2946,103.8597
38987,1.2954,103.8584
38988,1.2951,103.8596
38989,1.2956,103.859
39190,1.2935,103.8603
39192,1.2927,103.8603
39193,1.2938,103.8605
39194,1.2929,103.8609
39392,1.2913,103.8562
39393,1.2924,103.8551
39593,1.2935,103.8573
39594,1.2913,103.8575
39595,1.2924,103.8588
39596,1.2927,103.8596
39797,1.2906,103.8585
39799,1.2907,103.8601
39801,1.2903,103.8591
39802,1.2896,103.856
39803,1.2897,103.8629
39805,1.2892,103.859
48416,1.2821,103.8486
48417,1.2827,103.8482
48418,1.2816,103.8489
48421,1.2842,103.8467
48422,1.2837,103.8475
48423,1.2835,103.8469
48424,1.2824,103.849
48441,1.2829,103.8493
48462,1.2832,103.8488
48464,1.283,103.8487
48466,1.2827,103.8486
48467,1.2827,103.8486
48468,1.2827,103.8486
48469,1.2827,103.8486
48470,1.2827,103.8486
48471,1.2827,103.8486
48472,1.2827,103.8486
48473,1.2827,103.8486
48474,1.2825,103.8485
48508,1.2858,103.8498
48542,1.282,103.8511
48543,1.2824,103.851
48544,1.2823,103.8508
48545,1.2821,103.8508
48547,1.2819,103.8506
48580,1.2818,103.8514
48581,1.2814,103.8509
48582,1.2806,103.8504
48583,1.2812,103.8519
48616,1.2843,103.8511
48617,1.2834,103.8511
48618,1.284,103.8515
48619,1.2832,103.8507
48621,1.2839,103.8521
48622,1.2842,103.852
48623,1.2847,103.8522
48624,1.2854,103.8508
48625,1.2834,103.8515
48658,1.2852,103.8482
48659,1.2848,103.8477
48660,1.2843,103.8474
48692,1.2849,103.85
48693,1.2847,103.85
48694,1.2845,103.8499
48695,1.2844,103.8499
48696,1.2846,103.8493
48761,1.2836,103.8483
48762,1.2836,103.8483
48763,1.2836,103.8483
48764,1.2836,103.8483
48765,1.2836,103.8483
48766,1.2836,103.8483
48767,1.2836,103.8483
48768,1.2836,103.8483
48769,1.2836,103.8483
48770,1.2836,103.8483
48772,1.2832,103.8488
48773,1.2832,103.8488
48774,1.2832,103.8488
48775,1.2832,103.8488
48776,1.2832,103.8488
48777,1.2832,103.8488
48778,1.2832,103.8488
48779,1.2832,103.8488
48780,1.2832,103.8488
48781,1.2832,103.8488
48782,1.2832,103.8488
48815,1.286,103.8492
48816,1.286,103.8492
48817,1.286,103.8492
48818,1.286,103.8491
48819,1.2861,103.849
48820,1.2861,103.849
48821,1.2861,103.849
48822,1.2862,103.8489
48823,1.2862,103.8489
48824,1.2862,103.8488
48825,1.2863,103.8488
48826,1.2863,103.8488
48828,1.2863,103.8486
48829,1.2864,103.8484
48830,1.2865,103.8484
48831,1.2865,103.8483
48832,1.2865,103.8483
48833,1.2865,103.8482
48834,1.2865,103.848
48940,1.285,103.8502
48941,1.2845,103.8507
48942,1.2843,103.8506
48943,1.2822,103.8505
48946,1.2819,103.8501
48947,1.2839,103.85
48948,1.2839,103.85
48979,1.2839,103.8507
48980,1.2839,103.8509
49014,1.2872,103.8487
49015,1.2872,103.8487
49016,1.2871,103.8487
49017,1.2871,103.8486
49018,1.2871,103.8486
49019,1.287,103.8486
49023,1.2868,103.8485
49024,1.2868,103.8485
49025,1.2868,103.8485
49026,1.2867,103.8484
49027,1.2867,103.8484
49028,1.2866,103.8484
49031,1.2864,103.8486
49032,1.2864,103.8487
49033,1.2865,103.8487
49034,1.2865,103.8487
49035,1.2865,103.8487
49036,1.2866,103.8487
49037,1.2866,103.8487
49144,1.2858,103.8485
49145,1.2856,103.8478
49178,1.2862,103.853
49213,1.2862,103.8542
49215,1.2871,103.8536
49246,1.2822,103.8513
49247,1.2821,103.8516
49315,1.2832,103.8519
49317,1.2836,103.8521
49318,1.2842,103.8525
49319,1.2847,103.8527
49320,1.2851,103.8528
49321,1.2832,103.853
49322,1.2833,103.853
49323,1.2825,103.8536
49325,1.2834,103.8529
49326,1.2835,103.8536
49327,1.2846,103.854
49357,1.2881,103.8489
49358,1.2881,103.849
49359,1.2881,103.849
49360,1.288,103.849
49361,1.288,103.849
49362,1.288,103.849
49363,1.2879,103.849
49364,1.2879,103.849
49365,1.2878,103.849
49366,1.2878,103.849
49367,1.2877,103.849
49368,1.2877,103.849
49369,1.2876,103.849
49370,1.2876,103.849
49371,1.2875,103.849
49372,1.2875,103.849
49373,1.2875,103.849
49374,1.2874,103.849
49376,1.2873,103.849
49377,1.2873,103.849
49378,1.2873,103.849
49379,1.2872,103.849
49380,1.2872,103.849
49381,1.2871,103.849
49382,1.2871,103.849
49383,1.287,103.8491
49384,1.287,103.8491
49385,1.2869,103.8491
49386,1.2869,103.8491
49387,1.2868,103.8491
49388,1.2868,103.8491
49389,1.2867,103.8491
49390,1.2867,103.8492
49391,1.2866,103.8492
49392,1.2866,103.8492
49393,1.2866,103.8492
49394,1.2865,103.8492
49395,1.2865,103.8493
49396,1.2864,103.8493
49397,1.2864,103.8493
49398,1.2863,103.8493
49400,1.2862,103.8495
49401,1.2861,103.8495
49402,1.2861,103.8495
49403,1.286,103.8496
49404,1.286,103.8496
49405,1.2859,103.8496
49406,1.2859,103.8496
49407,1.2858,103.8497
49409,1.2859,103.8493
49411,1.286,103.8493
49412,1.286,103.8493
49413,1.2861,103.8492
49415,1.2862,103.8492
49416,1.2862,103.8491
49417,1.2862,103.8491
49418,1.2863,103.8491
49419,1.2863,103.8491
49420,1.2863,103.849
49421,1.2864,103.849
49422,1.2864,103.849
49423,1.2864,103.849
49426,1.2865,103.8489
49427,1.2866,103.8489
49428,1.2866,103.8489
49429,1.2867,103.8489
49430,1.2867,103.8489
49431,1.2867,103.8489
